directory,path,filename,size_bytes,size_mb,opened,fps,frame_count,duration_s,width,height,resolution,aspect,codec,label,label_token,player,fps_unusual,short_lt_0p7s,long_gt_60s,zero_frames,dup_group,session_cluster,nearest_other_video,nearest_score,phash8
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot06_set.mp4,video8_shot06_set.mp4,1882094,1.882,True,30.0,87,2.9,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.4742,3153a5ed68a35a81a61209948426e80c81f703ef07dc03910bac3b5124a0|3153a5ed68a35a81a61209948426e81491b503eb07d403b10b6c3b5125a0|3153a5ed68a35a81a61209948426e81491b503eb07d402b10b6c3b5125a0|3153a5ed68a35a81861209948426e81491b503eb07d402b10b6c3b5125a0|3153a5ed68a35a81a61209948426e81491b503eb07d402b10b6c3b5125a0|3153a5ed68a35a81a61209948426e81491f503eb07d403b10b6c3b5125a0|3153a5ed68a35a81a61209948426e81491f503ef07dc03910b2c3b5125a0|3153a5ed68a35a81a61209948426680c91e703ef07dc02910bac3b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot07_set.mp4,video8_shot07_set.mp4,1736949,1.737,True,30.0,87,2.9,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.8383,3153a5ed68a35a81a61209948426e80c91a503eb07d403b10b6c3b5125a0|3153a5ed68a35a81a61209948426e80c91b503eb07d403b10b6c3b5125a0|3153a5ed68a35a81a61209948426e80c91a503eb07d403b10b6c3b5125a0|3153a5ed68a35a81961209948424e80c91e503eb07d402b10b6c3a5125a0|3153a5ed68a35a81a61209948426e80c91a503eb07d403b10b6c3a5125a0|3153a5ed68a35a81a61209948426e80c91b503eb07d403b10b6c3b5125a0|3153a5ed68a35a81a61209948426e80c91b503eb07dc03b10b6c3b5125a0|3153a5ed68a35a81a61209948426e80c91b503ef07dc03910bac2b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot08_set.mp4,video8_shot08_set.mp4,1878069,1.878,True,30.0,87,2.9,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.5287,3153a5ed68a35a81a61209948424e81891a903d307b403410aac3b5125a0|3152a5ed68a35a81a61209948426e81891b103d307b403410aac3b5125a0|3152a5ed68a35a81a61209948426e80891a903d307b403410aac395125a0|3152a5ed68a35a81a61209948426e80891e903d3073403410aac3b5125a0|3152a4ed68a34281a61209948424e80891e903d3073403410aac3b5125a0|3152a5ed68a35a81a61209948424e81891a90393073402410aac3b5125a0|3152a5ed68a35a81a61209948426e81891c90393077402410aac3b5125a0|3152a5ed68a35a81a61209948424e81891e90393077402410aac3b5125a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot09_set.mp4,video8_shot09_set.mp4,1825518,1.826,True,30.0,88,2.933,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.7166,3152a5ed68a35a81a61609948424e81891e903d307b403410aac395125a0|3152a5ed68a35a81a61209948426e81891f103d307b403410aac3b5125a0|3152a5ed68a35a81a61209948426e81891e903d307b403410aac3b5125a0|3152a5ed68a35a81a61209948422e81891e903d3073403410aac3b5125a0|3152a5ed68a35a81a616099c8424e81891e903d3073403410aac3b5125a0|3152a5ed68a35a81a612099c8426e81891e90393073402410bac3b5125a0|3152a5ed68a35a81a616099c842ee81091d903b3077402c109ac3b5125a0|3152a5ed68a35a81a6120994842ee81091d903b3075402c109ac3b5125a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot10_jump.mp4,video8_shot10_jump.mp4,1621359,1.621,True,30.0,83,2.767,1280,720,1280x720,1.778,FMP4,jump_shot,jump,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.7079,3152a5ed68a35a81a616099c8426e84c91e906fb05d403c10bac0b511da0|3152a5ed68a35a81a616099c8426e82c91c9077306d401c10bac335125a0|3152a5ed68a35a81a616099c842ee82491f90733065400c109ac135125a0|3152a5ed68a35a81a61609928426e834919907b3075402c109ac135125a0|3152a5ed68a35a81a616099c8426e87491d907b3075402c109ac135125a0|3152a5ed68a35a81a616099c8426e82491b90773065401c10bac135125a0|3152a5ed68a35a81a616099c8426e82c91a9077306d401c10bac175125a0|3152a5ed68a35a81a616099c842ee86c91a9067304d403c10bac27512da0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video9_shot01_jump.mp4,video9_shot01_jump.mp4,706898,0.707,True,30.0,73,2.433,1280,720,1280x720,1.778,FMP4,jump_shot,jump,video9,False,False,False,False,D2_video9_session_cuts,S_video9,video9.mov,0.9929,0e001c0038007000d801a0034007800f801b0036006c00d801b003a007c0|0e001c0038007000d801a0034006c00d801b0036006c00d801f003a007c0|0e001c003c007000d801a0034006800d801b0036006c00d801f003c007c0|0e001c003c007000d801a0034006800f001a0034006c00f801b0034007c0|0e001c0038007000d801a0034007c00f801a0034006c00f801b0034006c0|0e001c0038007000d801a0034007c00f801a0034006c00d801b003c007c0|0e001c0038007000d801a0034007800f001a0034007c00d801b003c007c0|0e001c0038007000d801a0034006800d001e0034007800d801b003c007c0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video9_shot02_jump.mp4,video9_shot02_jump.mp4,930931,0.931,True,30.0,102,3.4,1280,720,1280x720,1.778,FMP4,jump_shot,jump,video9,False,False,False,False,D2_video9_session_cuts,S_video9,video9_shot01_jump.mp4,0.5983,0e001c0038007000d801a0034006800f001e003c007c00d801b003c007c0|0e001c0038007000d801a0034007800f80190036006c00d801b003a00740|0e001c0038007000d801a003c006c00f801b0036006c00d801b003a00740|0e001c0034007000d801a0034006c00d801b0036006c00d801f003a00740|0e001c003c007000d801a0034006c00f801b0036006c00d801f0032006c0|0e001c0038007000d801a0034006800f801b0036006c00f801b003c007c0|0e001c0038007000d801a0034006800f801a0034007800f801b003c007c0|0e001c0038007000d801a0034006800f001e0034007800d801b003c007c0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video9_shot03_jump.mp4,video9_shot03_jump.mp4,925957,0.926,True,30.0,107,3.567,1280,720,1280x720,1.778,FMP4,jump_shot,jump,video9,False,False,False,False,D2_video9_session_cuts,S_video9,video9.mov,0.9771,0e001c0038007000d801a0034006c00f801b0036006c00d801b003e00740|0e001c0038007000d801a0034006c00f801b0036006c00d801b003a00740|0e001c0038007000d801b0034006c00f801b0036006c00d801b003a00740|0e001c0038007000d801a0034006c00f801b0036006c00d801b003e00740|0e001c003c007000d801a0034006c00f801b0036006c00d801b003a00740|0e001c0038007000d801a0034006c00f801b0036006c00d801b003a007c0|0e001c0038007000d801a0034006c00f801b0036006c00d801b003a007c0|0e001c0038007000d801a0034006c00f801b0036006c00d801b003a00740
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Bookerfreethrowshooting1_set.mp4,Bookerfreethrowshooting1_set.mp4,603855,0.604,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,set_shot,set,Booker,False,False,False,False,,,Screen Recording 2026-08-14 011022.mp4,0.0907,4989a34a5618a65325395ea3196116472ca8ab18262020c01a4037006e00|4989a34a5618a65325395ea3196116672ca8ab18262020c01a4034006e00|4989a34a5618a65725395ea3196016652caaab14262028401b401e006e00|4989a34a5618a45725395ea5196016552c8aab94262020401b403b006e00|4989a34a5618a45725395ea5196116562ca88b10262020601a403b006e00|4989a34a5618a45725385ea5196116562ca88b10262020601e401b006e00|4989a34a5618a45725395ea3196916562ca9ab18262060601a4015006a00|4989a34a5618a45625395e27196116462ca9ab10262020441a4015006a00
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Bookerrightcornershooting1_jumpshoot.mp4,Bookerrightcornershooting1_jumpshoot.mp4,759315,0.759,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,jump_shot,jumpshoot,Booker,False,False,False,False,,,Stephcurryleftcourner3ptshooting1.mp4,0.0769,8c49da4cb0bd36453a4ca89cc020b0446801800103092e30d42068427484|8c49d84cb1b536456d4caa9ac120b044e001810103084e30d420ea403482|8c49d84cb19136c57d4ca89cc520aa42d003818103084e70d4206a423482|8c49da2cb1b134457d4ca89cc120b240e403918123084e3094206a403482|8c59da4cb1b136657d4ca89cc120b244cc05918923188e3094206a823584|8c49da4cb1b136457d4caa9ec120a248c425810943188e3096226a823584|8c49da48b1b136457c4ca89cc820b04ce005818923184e3096206a84350a|8c49d84cb099b6657e4c281cc020b04ce805818913192e7056606a823588
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Bookerrightwingshooting2miss_jumpshoot.mp4,Bookerrightwingshooting2miss_jumpshoot.mp4,653955,0.654,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,jump_shot,jumpshoot,Booker,False,False,False,False,,,video8_shot09_set.mp4,0.1943,a892e1062a17d0465500c30b84c6032ceed011801b3012c00d000b802900|a892f1062a14d0424500c32a84e4038cee501080193012c00d000f803900|a892e106aa15d0495500ca2a84e4832cee501080193006e00d001f803900|a892e1062a15d0425500ca2a84f4032cef5012c81db011c007000f802b00|a892e1063a1790465544ca2b8ce4032ca65010c0193012e007000f802b00|a892e1063a1790465508ca1b8ce4032c86d01080193014e00d001b802b00|a892e1063a1390465540ca138cc403aca6d011801a3014e00d001b802b00|a892a1063a93904a4548ca138ce413acafd013801e301ce019003b802b00
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couch2rightcourner3ptshooting1_jumpshoot.mp4,Couch2rightcourner3ptshooting1_jumpshoot.mp4,164527,0.165,True,30.0,60,2.0,1280,720,1280x720,1.778,h264,jump_shot,jumpshoot,Couch2,False,False,False,False,,,video8_shot02_set.mp4,0.1455,0f001e003c007800f001e0036006c00d801b0036006c00c801f003800600|0f001e003c007800f001e0036006c00d801b0036006c00c801b003800600|0f001e003c007800f001b0036006c00d801b0034006c00c801f003800600|0f001e003c007800f001b0036006c00d801b0034006400d801e003800600|0f001e003c007800f001b0036006c00d801b0034006c00d801e003800600|0f001e003c007800f001a0034006c00d801b0034006c00d801e003800600|0f001e003c007800f001a0034006c00d801b0036006c00d801e003800600|0f001e003c007800f001a0036006c00d801b0036007000e801e003800600
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couch2rightcourner3ptshooting2_jumpshoot.mp4,Couch2rightcourner3ptshooting2_jumpshoot.mp4,227196,0.227,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,jump_shot,jumpshoot,Couch2,False,False,False,False,,,video9.mov,0.0637,0c801b003e006c00d801b0032006200d40188030006c00d0018003c00600|0c801b003e006c00d801b0032006200c40180032006400c8018003c00600|0c801b003e006c00d801b0032006400c80190032006c00d0018003e00600|0c801b003e006c00d801b0032006400c80190032006c00c8018003e00600|0c801b003e006c00d80190032006400c80190036006400d8019003e00600|0d801b003e006c00d80190032006400c80190032006c00c8019003e00600|0c801b003e006c00d801b0032006400c80190032006800e8019003e00600|0c801b003e006c00d801b0032006400c80190032006800e0019003e00600
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couch2rightcournershooting1_set.mp4,Couch2rightcournershooting1_set.mp4,205240,0.205,True,30.0,61,2.033,1280,720,1280x720,1.778,h264,set_shot,set,Couch2,False,False,False,False,,,Screen Recording 2026-08-14 005322.mp4,0.0753,0d001e003a007400d801b0032007000e401c8038006800d001e003a00740|0d001e003a007400d801b0032007000e401c8038006c00d001e003a00740|0d001e003a007400d801b0032007000e401c8038006c00d001f003a00740|0d001e003a007400d801b0032007200e401c8038006800d001f003a00740|0d001e003a007400d801b0032007200e401c8038006800d001f003a00740|0d001e003a007400d801b0032007000e401c8038006c00d001f003a00740|0d001e003a007400d801b0032007000e401c8038006c00d001f003a00740|0d001e003a007400d801b0032007000e401c8038006c00d001f003a00740
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couch2rightwing3ptshooting1_jump.mp4,Couch2rightwing3ptshooting1_jump.mp4,277778,0.278,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,jump_shot,jump,Couch2,False,False,False,False,,,Couch2rightcourner3ptshooting1_jumpshoot.mp4,0.0961,0d001a0036006400e8019003c006800d001a0034006c00e801e003c00780|0d001a0036006400e80180024006800d001e003c006c00f801e003c007c0|0d001a0036006400e801a003c006800d001a003c006c00d801a003c007c0|0d801a0036006400d801a0034006800d001e003c006c00d801a003c00780|0d001a0036006400e801a0024006800d001a0034006c00d801a003c00780|0d001a0036006400e801a002c006800d001a003c006c00d801a003c00780|0d001a0036006400e801c002c007800d001e003c006c00d801a003c007c0|0d001a0036006400e801c003c007800d001e003c006c00d801a003c007c0
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couchleftwing3ptshooting1_jumpshot.mp4,Couchleftwing3ptshooting1_jumpshot.mp4,217830,0.218,True,30.0,61,2.033,1280,720,1280x720,1.778,h264,jump_shot,jumpshot,Couch,False,False,False,False,,,video9.mov,0.1537,0f801d0038006400e801c0034007400e001f0036006c00c801c803900700|0f801d0038006400e801c0030007000e00190036006c00d801c803900740|0f801d0038006000e801c0038007800e801d0036006c00e801e803900740|0f801d0038006400e801c0034007000e001f0036006c00e801e803900740|0f801d0038006400e801c0034007000e00190036006c00e801c803900740|0f801d0038006400e801c0034007000e00190036006c00e801c803900740|0f801d0038006400e801c0034007400e001b0036006c00e801c803900740|0f801d0038006400e801c0036007400e001f0036006c00d801c803900740
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couchrightcornershooting1.mp4,Couchrightcornershooting1.mp4,364253,0.364,True,30.0,69,2.3,1280,720,1280x720,1.778,h264,None,,Couch,False,False,False,False,D6_couch_corner,S2,Screen Recording 2026-08-14 024248.mp4,0.6504,0d801a0030006000d001c0038007400e001c003c006400d801b003200640|0d801a0030006000d001c0038007400c001c003c006400d80190036006c0|0d801a0030006000d001c0038007000e001a0030006400c80190036006c0|0d801a0030006000e001c0038007000e00190034006800c80190036007c0|0d80180030006000d001c0038007000e00180036006c00c801b0036006c0|0d80180030006000d001c0038007000e00180032006c00d80190036006c0|0d801a0030006000d001c0038007800f001a0032006400c80190032006c0|0d801a0030006000d001c0030006800d001a0030006400c80190030006c0
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Couchshooting1.mp4,Couchshooting1.mp4,178001,0.178,True,30.0,52,1.733,1280,720,1280x720,1.778,h264,None,,Couch,False,False,False,False,D8_couchshooting1,,Screen Recording 2026-08-14 024248.mp4,0.1906,0e001a0034006800d001e003c007000e001c0036006c00d801f003000700|0e001a0034006800d001e003c007000e001c0036006c00d801f003000700|0e001a0034006800d001e0038007000e001a0032006c00d801f003000700|0e001a0034006800d001e0038007000e001c0036006800d801f003000700|0e001a0034006800d001e0038007000e00180036006800d801f003000700|0e001a0034006800d001e0038007000e00180036006800d801f003000700|0e001a0034006800d001e0038007000e00180036006800d801f003000700|0e001a0034006800d001f0038007000e00180036006800d801f003000700
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightcournor3ptshooting1.mp4,Kevindurantrightcournor3ptshooting1.mp4,923920,0.924,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,None,,Kevindurant,False,False,False,False,D4_kd_corner1,S3,Screen Recording 2026-08-14 014036.mp4,0.7343,ee7dd1e3a81fb23d15fd319a63e25b2443ce978cad1ad8691807303160b4|ce7993f32a1f722e194ab596e3e63a45478cbf1912197842100b20225408|dc7db3e3721f646a29da6134c7c5b688c71d2a197432a8d6113720204120|9cf92362581e642a299c692cc7c4b6898d193a1a7432a894107420444129|9cf923e2501e646c299c6d2cc7c4f6898d193a1c7436e884107620444009|acf942e2501e646c299c6d2cc7c4b6890d1a3a1d7434e884113420444029|9cf923e2541e646c2b9c6d2cc7c4b68acd19ba1b7424e88c014420444029|9cf923e2501e646c2b9c692cc7c4b68dcd19ba1b7428e85c015420444029
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightcournor3ptshooting2.mp4,Kevindurantrightcournor3ptshooting2.mp4,963452,0.963,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,None,,Kevindurant,False,False,False,False,,S3,Bookerrightcornershooting1_jumpshoot.mp4,0.0616,fee6fd1afa887b52f5dde322a6472f96489cd4d0cb212e845fc0ff05de0a|fdcdfa30f520f664ea9f86454c0e4f2c9439ebe196c24d8d9d813e037410|e9cff673ed01ee49c51bca8adc5cfe48a971d3e337834b099f02bc066c22|fb9db463ea41ec81d57f0c0a981c9e593973d3c32384871b1e0334056822|db9db663ea41ec83c5778d16981c9691396355c26f848e111a0334056826|d39ff4e3ca01cc838677ad15b0b99691196347c76b040e119a0b34056832|d39f6ce3cc03d88382578d95b0b97e91316327862304461098092c077410|f71f68e3d483d98382de9995b2b97a9368e32d86630486129809a8087404
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Kevindurantrightwing3ptshooting2miss.mp4,Kevindurantrightwing3ptshooting2miss.mp4,848032,0.848,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,None,,Kevindurant,False,False,False,False,D5_kd_wing_miss,S3,Screen Recording 2026-08-14 023859.mp4,0.6636,bf723ee07d403de9387a69f15bf39588331432d865b04a6114e179c17380|bf727ea02d405de9387a69f65bf59588b394329865304b613ce17bc16700|bf733ea03dc03de9387ae9f55bfd9588b394329865304a613fe179c16b00|ff737ee07d403de93a7b69f55bf4958c3394329865304a411f617dc16b00|bf72bee03d403de93a7b69f4dbf61588339a72ac65184a211ee17dc16280|bf72bee03d403de93afb69f55bf3158b331472e6654c4a911fa17f616c40|bf72bee07d403de93abb69f55bf3d588b31772f865524be51fc17f916720|bf73bee17dc03de93afb69f55bf3a589630692f025c9cbe31fe17f937d34
